Year,Gold Reserves 10 000 oz.,Foreign Exchange Reserves USD 100 million,Year,Gold Reserves 10 000 oz.,Foreign Exchange Reserves USD 100 million
1978.0,1280.0,1.67,1995.0,1267.0,735.97
1979.0,1280.0,8.4,1996.0,1267.0,1050.29
1980.0,1280.0,-12.96,1997.0,1267.0,1398.9
1981.0,1267.0,27.08,1998.0,1267.0,1449.59
1982.0,1267.0,69.86,1999.0,1267.0,1546.75
1983.0,1267.0,89.01,2000.0,1267.0,1655.74
1984.0,1267.0,82.2,2001.0,1608.0,2121.65
1985.0,1267.0,26.44,2002.0,1929.0,2864.07
1986.0,1267.0,20.72,2003.0,1929.0,4032.51
1987.0,1267.0,29.23,2004.0,1929.0,6099.32
1988.0,1267.0,33.72,2005.0,1929.0,8188.72
1989.0,1267.0,55.5,2006.0,1929.0,10663.4
1990.0,1267.0,110.93,2007.0,1929.0,15282.49
1991.0,1267.0,217.12,2008.0,1929.0,19460.3
1992.0,1267.0,194.43,2009,3389.0,23991.52
1993.0,1267.0,211.99,2010,3389.0,28473.38
1994.0,1267.0,516.2,2011,3389.0,31811.48
